Date,ARG,AUS,BEL,BRA,CAN,CHN,COL,CZE,FRA,DEU,IND,IDN,IRN,ITA,JAP,KOR,MEX,NLD,RUS,SAU,SGP,ZAF,ESP,TUR,GBR,USA
4_15_2020,2.405797101,0.390625,4.630188679,1.669213974,1.020910209,0.537634409,0.992125984,2.019230769,0.183803301,2.637140637,0.80754352,1.053191489,0.960609911,0.897375505,1.107142857,1,1.163636364,0.845977011,1.221341024,1.133333333,1.338323353,0.636363636,2.08968059,1.053914328,0.912132418,1.172953082
4_16_2020,0.771084337,0.88,0.503667482,0.688358404,1.546385542,0.94,1.015873016,2.066666667,3.922045525,0.86770772,1.326946108,1.279461279,1.062169312,1.419572553,1.008960573,0.814814815,1.004464286,1.449728261,1.017709563,1.050709939,1.628635347,1.087912088,1.431314913,1.121466947,1.156602317,1.047647059
4_17_2020,0.765625,2.727272727,1.075242718,1.547268409,0.812621737,7.595744681,1.609375,0.534562212,0.150341867,1.256027165,0.832129964,1.071052632,0.933374844,0.922609614,0.994671403,1,1.284444444,1.158388004,1.180394432,1.471042471,0.855769231,1.797979798,0.806544359,0.906686107,1.106856723,0.933932248
4_18_2020,0.908163265,0.766666667,0.786305493,0.913724286,0.710450623,0.075630252,0.883495146,0.49137931,2.011634056,0.525817789,1.485900217,0.798525799,0.916611074,0.999427426,1.053571429,0.818181818,1.076124567,0.927993528,1.175675676,1.485564304,1.512038523,1.41011236,0.150568664,0.869055824,0.844286274,0.949098196
4_19_2020,0.91011236,0.913043478,1.25645933,0.670698925,1.125506073,0.666666667,0.93956044,2.456140351,0.287592008,0.947043702,1.381751825,1.006153846,0.977438137,0.872815812,0.620338983,0.444444444,1.22829582,0.934612031,1.26645768,0.961130742,0.632696391,0.494023904,7.833145434,1.051282051,0.926019861,0.815033784
4_20_2020,1.259259259,0.30952381,1.132520944,1.046593186,0.9382494,0.666666667,1.081871345,1.1,2.236745887,1.021172638,0.488114105,0.565749235,0.96351452,0.740400394,0.93989071,1.625,0.668848168,0.699626866,0.704290429,1.03125,2.39261745,1.14516129,0.221070812,1.175257732,1.144929213,1.260621762
4_21_2020,0.882352941,1.692307692,0.654337592,1.118238392,1.113738019,3,0.92972973,0.863636364,1.089497344,0.651780968,1.667748918,2.027027027,1.002318393,1.209663121,1.113372093,0.692307692,1.426614481,0.972,1.321930647,1.02228164,0.779102384,1.161971831,2.583333333,0.986521181,0.881738544,0.981298808
4_22_2020,1.255555556,0.318181818,0.958890031,1.14640411,1.323580034,0.416666667,1.203488372,0.744360902,0.674793698,1.922512235,0.837118754,0.754666667,0.920585968,1.234884573,1.033942559,1.222222222,1.430727023,0.98079561,0.928039702,0.994768963,0.914491449,1.03030303,1.061239919,0.668618521,1.12414979,1.152879581
4_23_2020,2.575221239,1.428571429,0.973204716,1.597834205,0.723450368,1.066666667,0.990338164,0.555555556,-0.949972207,1.052609249,1.323255814,1.261484099,0.862646566,0.785163205,1.090909091,1.272727273,1.044103547,1.243356643,0.911764706,1.014899211,1.020669291,1.870588235,1.100688673,1.01070386,1.113837996,0.938782925
4_24_2020,0.591065292,1.5,1.647577093,0.936433746,1.016776513,0.9375,1.56097561,1.563636364,-1.644821533,0.753728335,0.851200937,1.221288515,1.133980583,1.141723356,0.891203704,0.714285714,1.137741047,0.908886389,1.225178048,1.01208981,0.864995178,0.839622642,-2.164832794,1.001925546,0.981201172,0.963815789
4_25_2020,1.005813953,1.133333333,0.689839572,1.317943599,0.921037124,0.666666667,0.815625,0.918604651,0.596940591,0.809625668,1.206469374,0.908256881,0.970890411,0.78020523,0.862337662,1,0.782889427,0.810643564,1.020003419,1.021331058,0.688963211,0.528089888,-0.290512258,0.916399744,0.963983578,0.755671552
4_26_2020,0.647398844,1.176470588,0.783914729,0.715016095,0.91618682,0.3,0.908045977,0.658227848,0.377234803,0.830250991,0.916714204,0.694444444,1.01675485,0.985999151,0.659638554,1,0.860824742,1.001526718,1.066208515,1.021720969,1.506472492,1.312056738,0.593138937,0.823837819,0.856520617,0.922688629
4_27_2020,0.991071429,0.35,0.683559951,1.15095339,1.130586592,2,0.919831224,0.788461538,5.823064771,0.785998409,0.971375233,0.778181818,0.859496964,0.74827883,0.780821918,1.4,1.020359281,0.609756098,0.974375098,1.053965658,0.858216971,1.335135135,1.058993638,0.904115401,0.894639696,1.354448604
4_28_2020,1.117117117,3.285714286,1.169981917,1.332029452,1.035206918,3.666666667,1.614678899,1.43902439,0.849701574,1.168016194,1.199871877,1.939252336,1.12209889,1.202415181,1.660818713,0.642857143,1.435446009,0.43,1.034365924,0.982156711,0.660826033,0.821862348,0.714363736,1.12247771,1.039578947,1.004889456
4_29_2020,1.274193548,0.347826087,0.811437403,1.114182069,1.052505967,0.181818182,0.732954545,1.271186441,-0.464559387,1.409878683,0.927923118,0.626506024,0.964928058,0.9976088,0.76056338,0.444444444,0.856091578,2.244186047,0.911090314,1.046603476,1.306818182,1.743842365,1.639143731,1.227424749,1.061968408,1.152951132
4_30_2020,0.905063291,1.75,1.257142857,1.163100775,0.938208617,3,1.162790698,1.373333333,-0.837113402,0.90350338,1.036248562,1.334615385,0.91612302,0.897411314,0.962962963,2.25,1.361031519,1.331606218,1.21537408,1.019622642,0.765217391,0.838983051,0.241604478,0.890667575,1.11525553,0.910825688
5_1_2020,0.727272727,0.857142857,0.777272727,0.668488403,1.10755287,0.25,1.663333333,0.533980583,0.431855501,0.726530612,1.329261521,1.247838617,1.023397762,1.049679487,1.317307692,0.666666667,1.063157895,0.928015564,1.117481335,0.994818653,1.765151515,1.023569024,3.438223938,0.836711281,1.197626701,0.952860596
5_2_2020,1.432692308,1.75,0.945419103,0.97666999,0.804146208,0,0.559118236,0.327272727,1.505703422,0.833333333,1.020050125,0.674364896,0.7972167,0.96692112,1.105839416,2.166666667,0.890429043,0.932914046,1.213034161,1.013392857,0.479613734,1.266447368,0.76698484,0.90630713,0.794494732,0.682875264
5_3_2020,0.684563758,1.095238095,0.802061856,0.964883626,0.78697422,0.2,1.372759857,1.444444444,0.455808081,0.783146067,1.149058149,1.195205479,1.216957606,0.731052632,0.660066007,0.615384615,1.025203855,0.752808989,1.104956874,1.139500734,1.469798658,1.161038961,0.647144949,0.842158346,0.880247269,0.921671827
5_4_2020,1.019607843,1.086956522,0.928020566,1.437579348,1.344827586,0.4,0.796344648,1.461538462,1.556786704,0.700143472,1.401282965,1.131805158,1.25307377,0.879049676,0.84,0.375,1.036876356,0.594029851,0.995109565,1.05992268,0.872146119,0.977628635,0.616515837,0.966467066,0.968193696,1.136378905
5_5_2020,1.278846154,1.12,0.670360111,1.006034737,0.869871795,1,2.098360656,2.026315789,1.987544484,1.75204918,0.753560529,1.225316456,1.081766149,0.88042588,0.744047619,0.666666667,0.781032078,1.59798995,0.954730177,0.969604863,1.102966841,0.805491991,2.418348624,1.135068154,1.025977312,1.090452261
5_6_2020,1.413533835,0.678571429,1.123966942,1.632187271,1.18128224,1,0.540625,1.012987013,3.702775291,1.350877193,1.210597368,0.758264463,1.26984127,1.343255814,0.808,2,1.436607143,0.729559748,1.045238567,1.057680251,1.246835443,0.670454545,0.75569044,1.229803493,0.997287188,1.039848197
5_7_2020,0.867021277,1,2.349264706,0.821262101,0.900187149,2.5,1.436416185,0.730769231,0.179158607,1.097835498,0.937831057,0.920980926,0.883928571,0.970221607,0.97029703,3,1.231821007,1.961206897,1.06364239,1.062833432,0.94035533,1.796610169,1.126506024,0.877496671,1.139883774,0.983055266
